name;description;ingredients;is_sugar;is_cream_base;is_calzone;is_alcohol;is_meat
Pizza Savoyarde;"Une vraie pizza d'hiver avec sa charcuterie et son fromage à raclette. Riche et savoureuse, elle réchauffe le Cœur et l'estomac.";"Jambon blanc, Salami, Fromage à raclette, Crème fraîche, Oignons au vinaigre";False; True; False; False; True
Pizza Polask;"La cuisine polonaise à l'honneur avec cette recette de pizza au porc haché agrémentée de chou vert et de gruyère.";"Viande de porc hachée, Chou vert, Gruyère, Oignons, Huile d'olive";False; False; False; False; True
Pizza Piccante;"Une autre façon de préparer une pizza au pepperoni avec un fond de dés de légumes et des oignons attendris. Le tout parsemé de mozzarella râpée.";"Pepperoni, Oignons, Sauce tomate, Poivrons verts, Tomates, Mozzarella, Origan, Huile d'olive";False; False; False; False; True
Pizza paysanne;"Une délicieuse recette aux herbes au poulet et aux légumes grillés.";"Blanc de poulet, Poivron jaune, Oignons rouges, Tomates, Basilic, Ail, Romarin, Olives noires, Fromage de chèvre, Sauce Pesto, Huile d'olive, Vinaigre balsamique";False; False; False; False; True
Pizza Regina;"Une variante de la célèbre Napolitaine.";"Tomates, Champignons blancs, Jambon blanc, Origan, Olives noires, Huile d'olive, Poivre";False; False; False; False; True
Pizza Manhattan;"La recette typique de New-York au bœuf haché.";"Sauce tomate, Bœuf haché, Tomates, Poivron jaune, Gruyère râpé, Oignons, Crème fraîche, Cognac, Persil, Beurre, Huile d'olive";False; True; False; True; True
Pizza Istanbul;"Partez en Turquie avec cette pizza exotique au bœuf aromatisé à la menthe.";"Bœuf haché, Oignons blancs, Oignons rouges, Ail, Menthe, Sauce tomate, Laitue, Tomate, Persil, Citron, Piment de Cayenne, Huile d'olive, Sel & poivre";False; False; False; False; True
Pizza Landaise;"Toutes les saveurs du Sud-Ouest sur cette pizza riche et savoureuse.";"Fromage râpé, Crème fraîche, Asperges, Gésiers de volaille, Huile d'olive, Magret de canard fumé, Sel & poivre";False; True; False; False; True
Pizza Méditerranée;"Une recette de pizza aux accents du Sud à base de poulet et de légumes du soleil.";"Sauce Pesto, Herbes de Provence, Blanc de poulet, Poivron jaune, Oignons rouges, Tomates, Fromage de chèvre, Olives noires, Romarin, Basilic, Ail, Vinaigre balsamique, Huile d'olive";False; False; False; False; True
Pizza Mexicana;"Laissez-vous surprendre par le croquant du maïs et la saveur épicée.";"Sauce tomate, Steak haché, Poivron vert, Maïs, Huile d'olive, Oignon, Fromage râpé, Tabasco, Poivre";False; False; False; False; True
Pizza Madrilène;"Une recette aux saveurs espagnoles pour un repas ensoleillé.";"Jambon Serrano, Chorizo, Mozzarella, Champignons blancs, Sauce Tomate, Huile d'olive";False; False; False; False; True
Pizza Hawaïenne;"La fameuse déclinaison végétarienne de la pizza avec l'ingrédient typique : l'ananas.";"Sauce tomate, Ananas, Fromage râpé, Olives noires, Origan, Huile d'olive";True; False; False; False; False
Pizza Florentine;"Une pizza végétarienne très simple à préparer à base de feuilles d'épinards. À faire découvrir à vos enfants !";"Bacon, Épinards, Sauce tomate, Mozzarella, Œuf, Tomates raisins";False; False; False; False; False
Pizza Tyrolienne;"Cette recette de pizza assez typique joue la carte du sucré-salé. La saucisse se marie aux pommes le tout relevé de moutarde à l'ancienne.";"Saucisse italienne, Pommes Golden, Moutarde, Beurre, Huile d'olive";True; False; False; False; True
